str_mode,measure,value,cas_mode,city,scenario,country,continent,mode_distance
car,mean,0.2,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
car,ub,0.81,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
car,lb,0.05,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
cycle,mean,0.01,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
cycle,ub,0.03,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
cycle,lb,0,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
motorcycle,mean,0.13,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
motorcycle,ub,0.52,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
motorcycle,lb,0.03,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
truck,mean,0,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
truck,ub,0,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
truck,lb,0,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
nov,mean,1.11,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
nov,ub,2.89,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
